Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
United States,,,,,,,,,,,,,,,,,,,,,,0.6876288142549343,0.680359201389254,0.6653310109355094,0.6415367308216964,0.6889220372121762,0.7370777682752215,0.7594491188006727,0.7217954823355754,0.7301110782910041,0.685160322768261,0.6194273662192378,0.5407932401482534,0.5687393380436823,0.5496987986737024,0.6152871951715392,0.5848020654916284,0.6089654050858594,0.5961768006912638,0.6046707502631772,0.5977160383811029,0.6271571666172067,0.557266944879995
China,,,,,,,,,,,,,,,,0.8327429353021075,0.8241449595642298,0.7997225426208477,0.798704781009058,0.7532610737319159,0.7959081634115326,0.7883636352371888,0.7882915536543311,0.741915309728278,0.748814259135817,0.804132941007982,0.8444782671235432,0.8665188355056239,0.8639539996477217,0.8494863846689298,0.810036182653201,0.7797094561906003,0.7235514708901956,0.7092307098223716,0.6856641397118822,0.6943848431017332,0.6499473148707157,0.6503326766304545,0.6475875049866906,0.655369782869182,0.6465467540810159,0.6593396304113674,0.5922294569401136
Germany,,,,,,,,,,,,0.7040362780241813,0.7706370102056597,0.7331757924415585,0.752764673277502,0.7038428134386581,0.6786876146434672,0.6295298982676321,0.6528071246904673,0.5964210775106175,0.7064161265176209,0.6789817804749452,0.6756391198835041,0.6679429601999879,0.6707377517005924,0.7183093796733495,0.7679275630958478,0.7971982224878319,0.7702659164834622,0.7799569239307886,0.7392826669020574,0.6975649945607829,0.6368057587089408,0.6630542316487746,0.6642501620710193,0.7188140642276852,0.7077958647950794,0.7300200142933517,0.7264483870976665,0.7374587936522363,0.735735364386028,0.7425794474692973,0.704167484212328
Japan,0.4476050173022788,0.4674766559664334,0.6360384713070394,0.6127570000379658,0.5009625740215583,0.33895538628944505,0.28950819672131145,0.267515923566879,0.3991131695702781,0.44060028053631384,0.4835785700152939,0.49024687421471214,0.579146882282904,0.5424147759199893,0.5629332510229742,0.49681616372971316,0.47584853330098464,0.4009214593264562,0.43556965498059963,0.32346652897157835,0.5659035908452089,0.5305387205900994,0.532220600182887,0.5523400576004405,0.5412914183976876,0.5885052527569131,0.6414017699487666,0.6524017770950923,0.5722301871459732,0.5828963548013918,0.542750361270568,0.41824634631025487,0.2904601737552543,0.3485431767965614,0.2967885244673864,0.434571582013824,0.3896815157259781,0.43731393968907795,0.4059791710759153,0.4012976137088661,0.4299747697995872,0.45206729071006674,0.28447346495164605
India,,,,,,,,,,,,0.7011354118649129,0.8284092211292005,0.7814563644210952,0.824685793152611,0.7712693596185356,0.7690923969861023,0.7143762274122543,0.7520599124107905,0.6888263576547731,0.8225830446545546,0.8036911600735046,0.7889045776190771,0.8006251936145152,0.7790678765123954,0.7881062322483399,0.8075435563959222,0.8121846957947612,0.7731061960892862,0.8044492046116496,0.7842346700742493,0.7332231080418338,0.6851541684587944,0.7160910879057454,0.7003166909000784,0.7457970130209765,0.7442108884285119,0.7564494815598307,0.7562749782791748,0.7430942544584351,0.7456285873645381,0.7713197120789379,0.7118177758178643
United Kingdom,0.7060950606245848,0.7307611886579695,0.8142035781792208,0.8121974937340366,0.7482925982236557,0.6497562756352604,0.6139879257057621,0.6210368688587409,0.6743181411821986,0.6963741162674517,0.7183070938388244,0.7208544597774724,0.7653963607953674,0.7482081640486974,0.7707858383147987,0.7331857802668905,0.7294835146013792,0.6920682753795832,0.7072443895949608,0.6646527409651207,0.7383061328710949,0.7007682055282285,0.685165287480946,0.6721500202276105,0.6544563754503736,0.699693809567461,0.7510144553439349,0.7836241377292716,0.753434447126771,0.7557514035313068,0.7020614999965834,0.6399207000472296,0.562006344985069,0.589431195455969,0.5816503846181567,0.6394713759481431,0.610463514631586,0.6303526773194614,0.6304003306811881,0.6458723693666658,0.6268053860631677,0.6505841736139442,0.6052343127343265
France,0.6230362685180335,0.6334905124468,0.764022821845605,0.7581381000631822,0.6754385189722757,0.5694347638161874,0.5707613735096271,0.5680935209555735,0.6360426149411853,0.6547086280238552,0.6727014639306749,0.6645866635509345,0.7245202215760229,0.6969914103001869,0.7203929004688971,0.6732713420360753,0.6571540292947577,0.6097655863597713,0.6455957927348266,0.5900713385941605,0.7102659886094612,0.6760003543263368,0.6761175639416617,0.6697103963376639,0.6539567216450892,0.6967409452793318,0.7466608256182332,0.7696954791606301,0.733335101304317,0.7317438220326673,0.6875251217955372,0.6161919122826365,0.5292031545521028,0.5478416272834824,0.5210575029469571,0.5745236417275594,0.5377154074587649,0.5550303251175501,0.5394420394932316,0.5481155686025243,0.5253139860328973,0.5516641903899313,0.47825173386236397
Brazil,,,,,,,,,,,,,,,,,,,,,0.8563030485145794,0.8383552397573284,0.8232921251949048,0.847774898770202,0.8502406028903702,0.8598878994157599,0.8707746518545874,0.8725628220734014,0.83826081439709,0.8494671622052179,0.8404358130271615,0.8038393728656843,0.7579025119116217,0.775920779855658,0.7536471632808237,0.7642649738400802,0.7480171497173997,0.7606248802463031,0.7430924001552169,0.7392018380953498,0.750112044778581,0.7670570009081141,0.7138503123575465
Italy,,,,,,,,,0.5900281494300099,0.6289466577821681,0.6715323517380412,0.6045716756453894,0.7742285986294483,0.677882343398875,0.7323383308804121,0.6409603761042522,0.6229854561640659,0.5458056567069325,0.6181044315885285,0.5243160434599867,0.753881519416894,0.732943986430538,0.7325530539317003,0.7401410230470435,0.7212580677553133,0.736837656163104,0.7587240491530918,0.7580016548218195,0.7029617700278927,0.7126692809033293,0.6797476063861982,0.6114815924793924,0.5158690637521479,0.5454469105941684,0.5106149908509985,0.6000898206310004,0.5799436208277459,0.6176985775122961,0.602179104864105,0.6090246638948448,0.6180662658482905,0.646507063733935,0.5696008017640558
Canada,0.5072359397049673,0.5409504483107108,0.6965090219141673,0.7003450083455129,0.6328007376219845,0.49013383942198135,0.44099684285765217,0.4391474421599386,0.5225753375563088,0.5503212229643054,0.5832773967157467,0.5280874727371397,0.6626811838165126,0.5988371937637847,0.6465914354158698,0.5674374818712897,0.5478723455028355,0.4861656267940053,0.5330171042400338,0.4853582214296157,0.6782499674940061,0.6381429995989041,0.6354625035892796,0.6441234650663809,0.6322289115489578,0.693506891523461,0.7408392342021379,0.763013168130767,0.7294700219753079,0.7274010869922819,0.6838871785613021,0.6246785940506976,0.5386577666673984,0.5502639700815077,0.5370807040489113,0.5615466019142112,0.5293107982232267,0.5509386413927134,0.5409653635339408,0.5551815251005261,0.5157204140643858,0.5549317203138145,0.5104015970204612
