country,hdi_rank_2023,hdi_1990,hdi_1991,hdi_1992,hdi_1993,hdi_1994,hdi_1995,hdi_1996,hdi_1997,hdi_1998,hdi_1999,hdi_2000,hdi_2001,hdi_2002,hdi_2003,hdi_2004,hdi_2005,hdi_2006,hdi_2007,hdi_2008,hdi_2009,hdi_2010,hdi_2011,hdi_2012,hdi_2013,hdi_2014,hdi_2015,hdi_2016,hdi_2017,hdi_2018,hdi_2019,hdi_2020,hdi_2021,hdi_2022,hdi_2023
Algeria,96,0.595,0.596,0.601,0.603,0.603,0.608,0.615,0.624,0.634,0.643,0.651,0.659,0.669,0.677,0.685,0.692,0.698,0.704,0.711,0.714,0.718,0.718,0.723,0.727,0.732,0.737,0.743,0.746,0.749,0.753,0.742,0.755,0.761,0.763
Argentina,47,0.733,0.739,0.743,0.748,0.753,0.754,0.76,0.768,0.772,0.783,0.789,0.795,0.795,0.804,0.808,0.812,0.822,0.825,0.833,0.835,0.844,0.852,0.85,0.852,0.855,0.859,0.857,0.861,0.861,0.861,0.851,0.847,0.858,0.865
Australia,7,0.867,0.868,0.868,0.872,0.873,0.882,0.884,0.887,0.891,0.893,0.897,0.9,0.902,0.906,0.91,0.914,0.917,0.919,0.924,0.927,0.929,0.933,0.938,0.935,0.937,0.938,0.939,0.94,0.945,0.947,0.95,0.954,0.952,0.958
Austria,22,0.832,0.835,0.841,0.845,0.851,0.856,0.861,0.865,0.87,0.874,0.879,0.883,0.887,0.889,0.895,0.898,0.902,0.905,0.907,0.907,0.912,0.915,0.916,0.915,0.919,0.919,0.921,0.922,0.925,0.928,0.925,0.93,0.927,0.93
Bangladesh,130,0.397,0.395,0.411,0.419,0.426,0.434,0.442,0.451,0.459,0.468,0.477,0.486,0.494,0.503,0.511,0.52,0.527,0.534,0.538,0.551,0.561,0.572,0.583,0.589,0.6,0.621,0.632,0.633,0.646,0.656,0.663,0.663,0.68,0.685
Belgium,10,0.824,0.829,0.845,0.86,0.868,0.875,0.881,0.884,0.886,0.889,0.894,0.899,0.901,0.903,0.909,0.911,0.913,0.916,0.917,0.919,0.921,0.923,0.923,0.925,0.93,0.933,0.936,0.94,0.942,0.945,0.939,0.948,0.945,0.951
Brazil,84,0.641,0.645,0.648,0.654,0.659,0.666,0.671,0.676,0.68,0.684,0.69,0.694,0.7,0.705,0.712,0.718,0.725,0.732,0.739,0.742,0.748,0.753,0.758,0.762,0.765,0.764,0.765,0.77,0.774,0.776,0.77,0.768,0.78,0.786
Canada,16,0.865,0.868,0.873,0.871,0.877,0.881,0.884,0.884,0.883,0.888,0.894,0.897,0.899,0.902,0.906,0.909,0.913,0.914,0.916,0.915,0.918,0.921,0.927,0.93,0.932,0.932,0.933,0.935,0.935,0.937,0.931,0.937,0.935,0.939
Chile,45,0.718,0.723,0.73,0.725,0.73,0.739,0.745,0.752,0.759,0.766,0.771,0.778,0.784,0.789,0.797,0.804,0.804,0.812,0.82,0.819,0.823,0.823,0.832,0.845,0.849,0.855,0.859,0.862,0.866,0.867,0.856,0.865,0.869,0.878
China,78,0.491,0.499,0.511,0.522,0.532,0.543,0.555,0.566,0.576,0.587,0.598,0.608,0.619,0.63,0.642,0.654,0.666,0.68,0.689,0.7,0.71,0.717,0.725,0.733,0.742,0.75,0.758,0.765,0.774,0.781,0.786,0.794,0.796,0.797
Colombia,83,0.623,0.63,0.639,0.645,0.65,0.655,0.663,0.67,0.676,0.673,0.679,0.681,0.684,0.691,0.699,0.711,0.712,0.724,0.731,0.736,0.741,0.747,0.748,0.76,0.763,0.767,0.772,0.774,0.775,0.777,0.764,0.762,0.782,0.788
Czechia,29,0.753,0.751,0.752,0.76,0.771,0.781,0.793,0.797,0.802,0.806,0.817,0.828,0.835,0.842,0.848,0.856,0.864,0.87,0.873,0.875,0.88,0.883,0.885,0.892,0.898,0.9,0.902,0.904,0.901,0.903,0.898,0.901,0.911,0.915
Denmark,4,0.844,0.848,0.85,0.853,0.859,0.862,0.87,0.876,0.883,0.894,0.896,0.902,0.902,0.907,0.912,0.917,0.917,0.918,0.922,0.915,0.92,0.934,0.938,0.941,0.939,0.943,0.951,0.951,0.95,0.953,0.954,0.958,0.959,0.962
Egypt,100,0.572,0.578,0.586,0.593,0.601,0.609,0.617,0.623,0.629,0.634,0.639,0.642,0.643,0.643,0.645,0.648,0.651,0.658,0.665,0.671,0.677,0.68,0.689,0.695,0.699,0.706,0.713,0.72,0.728,0.736,0.736,0.738,0.751,0.754
Finland,12,0.823,0.827,0.833,0.838,0.85,0.856,0.863,0.871,0.88,0.889,0.898,0.908,0.912,0.915,0.911,0.914,0.917,0.92,0.921,0.916,0.92,0.924,0.924,0.934,0.936,0.938,0.94,0.942,0.945,0.947,0.947,0.949,0.946,0.948
France,26,0.798,0.807,0.814,0.818,0.832,0.837,0.842,0.847,0.851,0.856,0.852,0.855,0.858,0.862,0.869,0.877,0.881,0.884,0.884,0.883,0.888,0.892,0.893,0.896,0.9,0.901,0.905,0.908,0.911,0.914,0.909,0.915,0.916,0.92
Germany,5,0.834,0.841,0.849,0.859,0.865,0.87,0.875,0.881,0.887,0.892,0.897,0.904,0.909,0.914,0.923,0.923,0.927,0.931,0.933,0.933,0.936,0.942,0.944,0.945,0.949,0.948,0.949,0.951,0.952,0.957,0.955,0.958,0.955,0.959
Greece,34,0.77,0.78,0.782,0.784,0.79,0.792,0.796,0.803,0.813,0.816,0.828,0.837,0.836,0.842,0.851,0.863,0.871,0.866,0.871,0.874,0.876,0.874,0.874,0.879,0.886,0.888,0.884,0.887,0.893,0.896,0.896,0.897,0.897,0.908
India,130,0.446,0.448,0.453,0.458,0.463,0.469,0.476,0.482,0.488,0.496,0.501,0.511,0.516,0.529,0.538,0.547,0.557,0.566,0.574,0.579,0.59,0.603,0.609,0.615,0.625,0.633,0.644,0.649,0.648,0.651,0.652,0.647,0.676,0.685
Indonesia,113,0.531,0.538,0.545,0.555,0.565,0.575,0.585,0.595,0.591,0.595,0.6,0.608,0.617,0.625,0.624,0.638,0.646,0.649,0.653,0.663,0.67,0.678,0.686,0.69,0.693,0.701,0.705,0.712,0.715,0.714,0.71,0.707,0.726,0.728
Iraq,126,0.531,0.504,0.532,0.55,0.547,0.538,0.557,0.565,0.58,0.589,0.592,0.598,0.6,0.582,0.604,0.609,0.611,0.618,0.634,0.644,0.65,0.656,0.664,0.668,0.671,0.675,0.676,0.681,0.689,0.693,0.68,0.687,0.695,0.695
Ireland,11,0.776,0.78,0.787,0.794,0.805,0.809,0.816,0.823,0.855,0.858,0.869,0.876,0.883,0.891,0.899,0.905,0.908,0.911,0.907,0.907,0.915,0.909,0.911,0.915,0.921,0.931,0.936,0.941,0.944,0.947,0.948,0.946,0.947,0.949
Israel,27,0.787,0.791,0.794,0.801,0.806,0.81,0.817,0.824,0.831,0.839,0.839,0.841,0.846,0.847,0.85,0.858,0.867,0.878,0.878,0.884,0.889,0.892,0.893,0.899,0.902,0.902,0.905,0.908,0.911,0.913,0.912,0.918,0.921,0.919
Italy,29,0.787,0.792,0.8,0.806,0.816,0.823,0.829,0.836,0.84,0.845,0.849,0.856,0.862,0.866,0.874,0.876,0.881,0.885,0.885,0.884,0.887,0.89,0.887,0.887,0.89,0.889,0.894,0.897,0.902,0.906,0.899,0.908,0.905,0.915
Japan,23,0.853,0.857,0.859,0.865,0.872,0.874,0.88,0.883,0.884,0.885,0.889,0.892,0.894,0.896,0.899,0.9,0.903,0.905,0.905,0.905,0.907,0.906,0.909,0.912,0.914,0.917,0.918,0.92,0.921,0.922,0.922,0.922,0.921,0.925
Korea (Republic of),20,0.738,0.749,0.759,0.77,0.779,0.789,0.801,0.812,0.809,0.821,0.83,0.838,0.846,0.852,0.859,0.866,0.871,0.876,0.878,0.881,0.894,0.899,0.901,0.905,0.91,0.914,0.918,0.922,0.924,0.927,0.928,0.933,0.928,0.937
Malaysia,67,0.653,0.661,0.67,0.677,0.684,0.691,0.701,0.713,0.718,0.723,0.733,0.731,0.732,0.737,0.739,0.736,0.742,0.754,0.765,0.773,0.779,0.782,0.787,0.791,0.795,0.8,0.805,0.807,0.809,0.812,0.81,0.802,0.81,0.819
Mexico,81,0.668,0.67,0.672,0.675,0.68,0.68,0.687,0.694,0.701,0.706,0.712,0.715,0.722,0.728,0.732,0.736,0.745,0.747,0.75,0.749,0.751,0.757,0.764,0.765,0.769,0.773,0.778,0.781,0.785,0.788,0.763,0.761,0.783,0.789
Netherlands,8,0.855,0.86,0.861,0.863,0.889,0.886,0.89,0.891,0.893,0.894,0.9,0.902,0.898,0.901,0.904,0.907,0.914,0.92,0.92,0.92,0.925,0.935,0.935,0.937,0.939,0.94,0.941,0.945,0.947,0.95,0.945,0.951,0.953,0.955
New Zealand,17,0.811,0.813,0.822,0.838,0.852,0.858,0.862,0.871,0.881,0.886,0.896,0.902,0.905,0.91,0.912,0.917,0.918,0.921,0.92,0.923,0.926,0.927,0.929,0.933,0.932,0.934,0.938,0.936,0.938,0.938,0.94,0.939,0.933,0.938
Nigeria,164,0.379,0.383,0.388,0.393,0.397,0.402,0.408,0.413,0.419,0.425,0.435,0.438,0.451,0.464,0.477,0.484,0.489,0.492,0.497,0.499,0.502,0.508,0.512,0.517,0.524,0.53,0.532,0.534,0.537,0.544,0.547,0.554,0.557,0.56
Norway,2,0.856,0.863,0.868,0.875,0.89,0.887,0.894,0.9,0.908,0.913,0.924,0.923,0.923,0.93,0.937,0.939,0.942,0.943,0.943,0.944,0.947,0.949,0.95,0.953,0.956,0.959,0.962,0.965,0.966,0.967,0.969,0.969,0.967,0.97
Pakistan,168,0.396,0.4,0.405,0.408,0.412,0.415,0.42,0.422,0.426,0.431,0.436,0.443,0.45,0.458,0.472,0.48,0.489,0.495,0.496,0.497,0.5,0.504,0.508,0.512,0.522,0.527,0.535,0.537,0.538,0.54,0.536,0.537,0.544,0.544
Peru,79,0.625,0.628,0.629,0.633,0.644,0.654,0.658,0.663,0.671,0.68,0.682,0.69,0.69,0.689,0.694,0.691,0.697,0.708,0.714,0.717,0.731,0.738,0.748,0.757,0.763,0.768,0.775,0.775,0.78,0.784,0.769,0.764,0.79,0.794
Philippines,117,0.593,0.594,0.599,0.602,0.606,0.609,0.619,0.623,0.624,0.628,0.632,0.636,0.643,0.648,0.655,0.656,0.654,0.659,0.662,0.662,0.669,0.674,0.681,0.687,0.689,0.69,0.69,0.694,0.7,0.708,0.699,0.69,0.714,0.72
Poland,35,0.722,0.72,0.724,0.737,0.747,0.754,0.763,0.775,0.784,0.793,0.801,0.809,0.816,0.822,0.82,0.826,0.831,0.836,0.841,0.846,0.852,0.858,0.863,0.873,0.873,0.879,0.884,0.882,0.884,0.887,0.88,0.884,0.902,0.906
Portugal,40,0.707,0.718,0.735,0.751,0.765,0.773,0.781,0.789,0.795,0.793,0.797,0.801,0.804,0.808,0.809,0.81,0.815,0.821,0.826,0.831,0.836,0.843,0.844,0.849,0.854,0.857,0.859,0.864,0.866,0.872,0.87,0.876,0.883,0.89
Romania,55,0.719,0.705,0.694,0.692,0.695,0.701,0.707,0.709,0.715,0.724,0.73,0.737,0.745,0.749,0.757,0.765,0.781,0.792,0.815,0.826,0.822,0.823,0.817,0.821,0.82,0.823,0.823,0.828,0.833,0.838,0.832,0.829,0.84,0.845
Russian Federation,64,0.762,0.758,0.744,0.725,0.712,0.713,0.723,0.734,0.738,0.74,0.75,0.758,0.764,0.772,0.777,0.78,0.791,0.802,0.807,0.805,0.808,0.822,0.825,0.83,0.831,0.833,0.835,0.838,0.845,0.847,0.818,0.813,0.826,0.832
Saudi Arabia,37,0.67,0.681,0.688,0.693,0.699,0.705,0.711,0.718,0.725,0.729,0.737,0.744,0.75,0.762,0.773,0.782,0.785,0.786,0.792,0.794,0.801,0.811,0.819,0.827,0.841,0.851,0.86,0.869,0.875,0.878,0.875,0.878,0.893,0.9
Singapore,13,0.819,0.826,0.833,0.84,0.848,0.854,0.859,0.866,0.869,0.875,0.882,0.885,0.891,0.897,0.905,0.911,0.911,0.914,0.924,0.928,0.932,0.933,0.933,0.934,0.934,0.935,0.934,0.935,0.939,0.942,0.944,0.948,0.942,0.946
South Africa,106,0.633,0.641,0.645,0.65,0.654,0.654,0.649,0.642,0.634,0.626,0.618,0.613,0.614,0.61,0.613,0.616,0.622,0.632,0.643,0.657,0.669,0.683,0.696,0.705,0.713,0.722,0.722,0.726,0.732,0.742,0.724,0.721,0.737,0.741
Spain,28,0.766,0.774,0.781,0.789,0.798,0.804,0.811,0.816,0.821,0.825,0.833,0.839,0.844,0.846,0.852,0.857,0.862,0.864,0.865,0.867,0.875,0.879,0.881,0.886,0.89,0.895,0.9,0.902,0.905,0.91,0.901,0.912,0.911,0.918
Sweden,5,0.818,0.821,0.829,0.85,0.862,0.869,0.877,0.888,0.901,0.906,0.912,0.915,0.918,0.923,0.908,0.911,0.915,0.917,0.913,0.912,0.918,0.92,0.92,0.94,0.943,0.945,0.947,0.949,0.95,0.955,0.951,0.958,0.959,0.959
Switzerland,2,0.858,0.86,0.863,0.867,0.87,0.872,0.875,0.88,0.886,0.889,0.892,0.895,0.896,0.901,0.906,0.909,0.918,0.926,0.934,0.942,0.945,0.946,0.949,0.952,0.956,0.957,0.959,0.96,0.962,0.965,0.963,0.968,0.966,0.97
Türkiye,51,0.598,0.602,0.608,0.615,0.616,0.623,0.63,0.638,0.649,0.652,0.669,0.675,0.685,0.691,0.696,0.701,0.711,0.719,0.721,0.728,0.75,0.764,0.772,0.802,0.813,0.821,0.826,0.833,0.838,0.841,0.838,0.841,0.853,0.853
United Arab Emirates,15,0.713,0.724,0.729,0.736,0.742,0.747,0.753,0.761,0.77,0.78,0.79,0.798,0.805,0.81,0.815,0.819,0.823,0.827,0.831,0.832,0.835,0.839,0.843,0.846,0.853,0.857,0.861,0.884,0.901,0.915,0.909,0.903,0.921,0.94
United Kingdom,13,0.812,0.816,0.824,0.827,0.836,0.835,0.841,0.849,0.856,0.862,0.87,0.876,0.881,0.886,0.897,0.903,0.902,0.905,0.91,0.915,0.921,0.916,0.917,0.931,0.932,0.931,0.934,0.937,0.936,0.941,0.93,0.941,0.946,0.946
United States,17,0.878,0.878,0.882,0.884,0.887,0.888,0.89,0.893,0.895,0.895,0.895,0.897,0.898,0.9,0.905,0.907,0.911,0.914,0.914,0.915,0.919,0.92,0.923,0.925,0.926,0.928,0.929,0.931,0.934,0.936,0.925,0.921,0.93,0.938
Viet Nam,93,0.499,0.509,0.521,0.531,0.543,0.556,0.567,0.578,0.588,0.596,0.604,0.612,0.621,0.63,0.638,0.647,0.656,0.664,0.672,0.679,0.686,0.693,0.698,0.704,0.711,0.717,0.723,0.729,0.737,0.744,0.755,0.754,0.764,0.766
