Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
United States,0.5023570403771265,0.5030599755201959,0.48089751364463307,0.4800080775444263,0.47641129032258056,0.46719319562575945,0.4705030014489754,0.4594316309719933,0.4437771795402775,0.4440066362505184,0.4464838110950712,0.454809286898839,0.4560712805636137,0.45698370125851023,0.4539676030346523,0.45750968004890974,0.457606490872211,0.439676113360324,0.40580592773041,0.39577836411609507,0.3730706742485783,0.3653333333333332,0.360331632653061,0.37897042716319806,0.39149988756465015,0.4133867546547252,0.4216611609249646,0.4586520076481835,0.4355093742941043,0.4279744886738507,0.42990239574090494,0.43672291296625215,0.46353358457104843,0.46863957597173134,0.4710288609825952
China,0.9995900799344128,0.9991840065279479,0.9993935718617345,0.9997980613893377,0.9987903225806452,0.9979748886188741,0.9739184433864624,0.940485996705107,0.9144750465934977,0.8940273745333887,0.8775005155702208,0.8642205638474295,0.8526730211355159,0.8518671343098824,0.8242772196022145,0.7905033625433054,0.7586206896551724,0.7200404858299595,0.6954933008526186,0.6693728435153236,0.5806255077173028,0.5035897435897435,0.5257227891156463,0.5397590361445782,0.5464357994153362,0.5500824888050907,0.5483718735252476,0.5547323135755258,0.5242828100293652,0.5106663734330328,0.4982253771073647,0.49622557726465344,0.49833739747284417,0.5015459363957596,0.5038554747741794
Germany,0.7936052469768395,0.7788657690738473,0.7572266019809987,0.73202746365105,0.7254032258064517,0.7112191170514377,0.7066859863382322,0.6960461285008236,0.6794367363843447,0.6692243882206553,0.6776654980408332,0.6842868988391375,0.6848321591380023,0.6851660821126468,0.6729546852573302,0.6596698593845526,0.6533468559837727,0.6327935222672064,0.6220056841250505,0.6399431702861782,0.6545491470349308,0.6678974358974359,0.7021683673469388,0.7202628696604599,0.7281313244884191,0.7560688192316757,0.7543652666352053,0.7755736137667304,0.7246442285972442,0.71035847811744,0.7118456078083406,0.7095914742451154,0.7095987585901129,0.713780918727915,0.7138136153337739
Japan,0.6288173806107809,0.6372909016727868,0.6624216696988073,0.661550888529887,0.6602822580645161,0.6571486431753747,0.6634237217967294,0.6688632619439867,0.6659763926278732,0.661758606387391,0.6588987420086616,0.6567164179104477,0.651056775797762,0.6472044563647616,0.6477342628665161,0.6474424291827999,0.647870182555781,0.6465587044534412,0.6500203004466097,0.6565861579054191,0.656173842404549,0.6635897435897437,0.685799319727891,0.7042716319824753,0.719361367213852,0.7464058449210464,0.745398773006135,0.7645793499043976,0.7201264964987576,0.6998020672971189,0.6956521739130433,0.6978241563055062,0.6980713810684991,0.7003091872791518,0.7005948446794447
India,0.8128714900594384,0.8011015911872704,0.7976551445320397,0.7881663974151858,0.7810483870967742,0.7776427703523694,0.789484578762161,0.7829489291598022,0.7730378960447298,0.7617171298216507,0.7465456795215508,0.7211857379767828,0.6840033153750518,0.6886734062306581,0.6750051261021118,0.6700631750560423,0.6419878296146044,0.5937246963562752,0.5692245229395044,0.5981327379744267,0.5684402924451664,0.557128205128205,0.6048044217687073,0.6181818181818182,0.6390825275466607,0.6269149186896062,0.6340254837187351,0.6376673040152963,0.621865823356675,0.6146910050582802,0.6268855368234248,0.5805950266429839,0.5657282199068943,0.5684628975265017,0.5708305794227803
United Kingdom,0.7782332445173192,0.7792737658098736,0.732969476450374,0.7045638126009693,0.7,0.762251923855812,0.7451873318153592,0.6956342668863261,0.6914475046593497,0.7289506428867689,0.7118993606929263,0.7259535655058043,0.7192291753004558,0.7392201361667009,0.7541521427106828,0.7525983289178725,0.7482758620689656,0.7489878542510121,0.7584246853430774,0.7462959204384005,0.7457351746547521,0.7282051282051282,0.7568027210884353,0.754435925520263,0.7472453339329884,0.8046193730850812,0.7907031618688061,0.8001912045889101,0.7632708380393043,0.7459863646360237,0.744676131322094,0.7437833037300177,0.7417424074484593,0.7429328621908126,0.7442167878387309
France,0.800573888091822,0.7933496532027743,0.7873458661815242,0.783723747980614,0.7840725806451614,0.7373430538679626,0.6866073276754296,0.6606260296540362,0.6324290743425139,0.6155122355868934,0.6145597030315529,0.6322553897180762,0.6639038541234976,0.6810398184443984,0.6998154603239695,0.7177501528428776,0.7137931034482758,0.701417004048583,0.7088915956151035,0.700832149380962,0.6703899268887082,0.6904615384615385,0.7238520408163265,0.730120481927711,0.7272318416910275,0.7497053971246759,0.7536573855592259,0.7695984703632887,0.7169640840298172,0.6980426654937321,0.6980922803904169,0.6842806394316163,0.6854356018621146,0.6859540636042403,0.6838510685172945
Brazil,0.37077269932363177,0.37392900856793143,0.3800282999797858,0.38045234248788373,0.3808467741935483,0.3791008505467801,0.3837714758849099,0.3873558484349257,0.38475874922344183,0.38448776441310667,0.38770880593936885,0.38660862354892206,0.38126813095731443,0.38621827934805014,0.3984006561410704,0.3878133278989199,0.39249492900608524,0.4010121457489879,0.4009338205440518,0.4032880048711182,0.4017059301380991,0.3999999999999999,0.4215561224489795,0.4409638554216868,0.443894760512705,0.44968182889464997,0.45422369042000926,0.4715583173996174,0.4486107973797154,0.4418297778755223,0.4165927240461401,0.4031971580817051,0.4132121480824651,0.4218197879858656,0.4190350297422338
Italy,0.9208854273416684,0.9212566299469604,0.9219729128764909,0.9216478190630049,0.9211693548387098,0.920818144997975,0.9227903125646865,0.9071252059308071,0.8896251811969351,0.8917461634176691,0.8878119199835018,0.7740464344941956,0.6581019477828427,0.6480297090984112,0.6364568382202174,0.6845323007947828,0.7275862068965517,0.7370445344129554,0.7421843280552171,0.7213314390095392,0.689480097481722,0.6824615384615385,0.6760204081632653,0.7182913472070097,0.7308297728805936,0.8053264199858589,0.8157149598867389,0.8315009560229445,0.7836006324824938,0.7624807565427754,0.7588731144631764,0.7639875666074599,0.7628020394590999,0.76523851590106,0.7666886979510904
Canada,0.6806722689075629,0.6776825785393716,0.6856680816656561,0.6831583198707591,0.6814516129032258,0.6771972458485217,0.6853653487890706,0.6824546952224053,0.6786084075377924,0.6725425134798838,0.6607547948030522,0.6567164179104477,0.6543721508495648,0.6519496595832472,0.6501947918802541,0.6480538006928878,0.6462474645030426,0.6429149797570849,0.6402760860738934,0.6444083620864622,0.6417546709991876,0.6449230769230769,0.6670918367346939,0.6821467688937568,0.6957499437823252,0.7209521564930473,0.7255781028787165,0.7402007648183556,0.6988931556358708,0.6800087970090168,0.6696983141082519,0.6631882770870337,0.6814453557969409,0.6839664310954063,0.685833884115444
Russia,0.8134863701578193,0.8129334965320277,0.8037194259146958,0.7980613893376414,0.7723790322580645,0.7618469015795868,0.7369074725729663,0.6402388797364085,0.5862497411472354,0.5215678141849854,0.5415549597855227,0.4987562189054725,0.5460008288437629,0.49907159067464407,0.4941562435923723,0.5196657835744853,0.5470588235294116,0.5615384615384614,0.506496142915144,0.5668763953724375,0.49959382615759546,0.45948717948717943,0.4740646258503399,0.48915662650602393,0.47762536541488626,0.43436247937779854,0.45988673902784327,0.47466539196940727,0.42850688954145016,0.41499890037387266,0.3185448092280389,0.31505328596802823,0.32121480824650833,0.3250883392226146,0.32804582507160146
South Korea,0.5117852018856324,0.5167278661770707,0.523145340610471,0.5254442649434572,0.5272177419354838,0.5188335358444714,0.5282550196646658,0.5358319604612849,0.5400704079519569,0.5383658233098298,0.5411425036089915,0.5234245439469319,0.5468296726067134,0.5128945739632761,0.5568997334426901,0.5241491746484612,0.6563894523326572,0.6119433198380566,0.5706455542021923,0.5413030241526284,0.4977660438667749,0.5868717948717947,0.5027636054421768,0.5485213581599122,0.5565549808859904,0.5722366250294602,0.5698442661632844,0.5810229445506692,0.5439349446577818,0.5377171761601055,0.5334960070984914,0.5293072824156304,0.5333628907115937,0.5397526501766784,0.5404274069178232
Australia,0.6872309899569585,0.6854345165238679,0.6889023650697392,0.6882067851373183,0.6877016129032257,0.6846901579586876,0.6969571517284205,0.7003706754530477,0.6972458065852143,0.697221070095396,0.6972571664260672,0.6977611940298508,0.6947782842934106,0.6950691149164431,0.6987902399015787,0.6987976360301609,0.7,0.6987854251012147,0.6944782785221274,0.6910899127257966,0.6969943135662062,0.7015384615384614,0.72406462585034,0.7447973713033953,0.7589386102990778,0.7935423049728966,0.7968381311939595,0.8109464627151051,0.7616896318048338,0.7426874862546733,0.7384649511978704,0.7275754884547069,0.727554865883396,0.7323321554770316,0.731879268561357
Spain,0.600122976019676,0.6183190534475724,0.6418031129977764,0.6260096930533117,0.6268145161290322,0.6464155528554071,0.6756365141792589,0.6637149917627677,0.651894802236488,0.6507673164661966,0.6807589193648174,0.7195273631840795,0.7233733941152093,0.7295234165463174,0.7664547877793726,0.7811289993886283,0.7657200811359025,0.7149797570850203,0.7450263905805926,0.714633651309113,0.7225832656376929,0.7224615384615384,0.7336309523809524,0.7520262869660461,0.7355520575668989,0.7819938722601933,0.7829164700330346,0.8023422562141491,0.7571718997063474,0.7407081592258631,0.7406832298136645,0.7388987566607459,0.7412990467745509,0.7420494699646643,0.7395902181097157
Mexico,0.4687435949989752,0.4706242350061199,0.47564180311299786,0.47576736672051684,0.47641129032258056,0.473876063183475,0.4827157938315049,0.4853789126853377,0.48291571753986345,0.4821650767316465,0.48607960404207057,0.48383084577114416,0.4852880232076253,0.40086651537033197,0.3883534960016404,0.3953535765233341,0.40101419878296146,0.38684210526315793,0.3761672756800648,0.38055611934239897,0.3870836718115353,0.38174358974358963,0.392644557823129,0.40175246440306683,0.40881493141443664,0.417864718359651,0.4230769230769229,0.4294933078393881,0.395979218432347,0.3934462282823839,0.3950754214729368,0.4009769094138543,0.4078918199955663,0.41762367491166064,0.4157303370786516
Indonesia,0.6230784996925598,0.620563035495716,0.619769557307459,0.6175282714054927,0.6088709677419354,0.6008505467800728,0.6052577106189196,0.637149917627677,0.6529302132946779,0.6607216922438822,0.664054444215302,0.6643864013266999,0.665561541649399,0.6663915824221166,0.6719294648349394,0.672508661096393,0.6754563894523326,0.6765182186234818,0.671741778319123,0.6756647046884512,0.6789195775792037,0.6822564102564103,0.7055697278911562,0.7211391018619935,0.7407240836519,0.7610181475371199,0.7722982538933458,0.798040152963671,0.7106392590919358,0.691224983505608,0.6947648624667259,0.6889431616341031,0.685657282199069,0.6844081272084805,0.6728354263053535
Netherlands,0.6193892191022751,0.6191350469196247,0.6165352739033758,0.6197495961227786,0.6582661290322581,0.6265694613203726,0.667356654936866,0.6608319604612849,0.6651480637813212,0.6914143508917461,0.725716642606723,0.7531094527363184,0.7865727310401989,0.7965752011553537,0.7920852983391429,0.8057876502954963,0.8002028397565922,0.8139676113360323,0.8333333333333333,0.818550842297544,0.8235174654752233,0.8584615384615385,0.8769132653061223,0.8613362541073384,0.9206206431302001,0.9719538062691493,1.0,0.9756214149139579,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Saudi Arabia,0.5205984832957573,0.5226438188494493,0.5275924802910855,0.5270597738287561,0.5276209677419353,0.5257189145402998,0.5361208859449389,0.5257413509060954,0.5135638848622903,0.5300705101617585,0.5289750464013198,0.5279850746268655,0.5269374222958972,0.5310501341035692,0.5415214271068279,0.5441206439779905,0.5375253549695741,0.5362348178137651,0.521721477872513,0.5354170895067992,0.5389926888708366,0.5513846153846153,0.5735544217687074,0.5894852135815991,0.6031032156510007,0.6259721894885694,0.622935346861727,0.6424474187380496,0.6042466681725773,0.5858808005278205,0.5822981366459626,0.5841474245115452,0.5827976058523607,0.5876766784452294,0.5902181097157965
Turkey,0.38081574093051845,0.38943288453692376,0.4063068526379625,0.45355411954765734,0.47379032258064513,0.4684082624544349,0.47443593458911204,0.4769357495881384,0.47421826465106637,0.4726254666113646,0.4753557434522583,0.4724295190713101,0.4716121011189389,0.4908190633381473,0.5312692228829198,0.5691868758915833,0.5876267748478701,0.6099190283400809,0.5785627283800242,0.5524660036533386,0.5696588139723802,0.5684102564102564,0.5905612244897959,0.6184008762322015,0.6102990780301326,0.621965590384162,0.6203397829164699,0.5848470363288717,0.5242828100293652,0.54915328788212,0.5674356699201419,0.5910301953818827,0.5522057193526934,0.4754858657243815,0.5582727473011675
Switzerland,0.699323631891781,0.6993064055487557,0.698403072569234,0.6904281098546042,0.6850806451612903,0.6802349129202105,0.6636307182777892,0.6670098846787478,0.6761234209981362,0.6265035255080879,0.6347700556815837,0.6343283582089551,0.6421467053460422,0.6554569837012585,0.6713143325815051,0.6615039739148154,0.656997971602434,0.6378542510121458,0.6400730816077952,0.6460320681956565,0.6419577579203898,0.6488205128205127,0.6626275510204079,0.6641840087623221,0.6581965369912299,0.670751826537827,0.663992449268523,0.6732791586998087,0.6336119268127399,0.6234880140752145,0.6259982253771074,0.6212255772646534,0.614719574373753,0.6181537102473497,0.6197400308437981
