Year,Brazil,China,France,Germany,India,Japan,Netherlands,Russia,Saudi Arabia,UK,USA
1990,3.1597222222222223,0.7291666666666664,5.703703703703704,6.287037037037036,0.0,6.5949074074074066,6.627314814814814,5.12037037037037,3.62962962962963,5.930555555555556,7.0
1991,3.2069767441860466,0.8302325581395347,5.844186046511629,6.39767441860465,0.0,6.658139534883721,6.706976744186047,5.046511627906977,3.7930232558139543,5.990697674418604,7.0
1992,3.181818181818182,0.9463869463869464,5.890442890442889,6.461538461538461,0.0,6.624708624708624,6.6573426573426575,4.748251748251748,3.8344988344988336,6.053613053613053,7.0
1993,3.2206572769953055,1.051643192488263,5.915492957746478,6.589201877934272,0.0,6.687793427230046,6.654929577464788,4.387323943661971,3.861502347417839,6.06338028169014,7.0
1994,3.2206572769953055,1.1338028169014085,6.06338028169014,6.605633802816901,0.0,6.720657276995305,7.0,4.091549295774647,3.8779342723004686,6.129107981220656,6.967136150234742
1995,3.291169451073986,1.2362768496420058,6.147971360381861,6.699284009546539,0.0,6.766109785202864,6.966587112171838,4.076372315035798,3.94272076372315,6.114558472553699,7.0
1996,3.297101449275363,1.3357487922705324,6.188405797101449,6.746376811594202,0.0,6.830917874396135,7.0,4.176328502415458,3.973429951690821,6.171497584541062,7.0
1997,3.304136253041363,1.4306569343065685,6.216545012165449,6.795620437956204,0.0,6.829683698296837,6.965936739659368,4.291970802919708,4.019464720194647,6.250608272506082,7.0
1998,3.302211302211303,1.5135135135135127,6.243243243243242,6.862407862407862,0.0,6.8108108108108105,6.965601965601965,4.2997542997543,4.076167076167075,6.329238329238329,7.0
1999,3.2982456140350886,1.5964912280701749,6.315789473684211,6.947368421052631,0.0,6.824561403508772,6.982456140350877,4.280701754385965,4.087719298245613,6.421052631578947,7.0
2000,3.3157894736842097,1.7017543859649118,6.157894736842104,6.947368421052631,0.0,6.807017543859649,7.0,4.368421052631579,4.140350877192982,6.473684210526315,6.912280701754385
2001,3.2595419847328233,1.7277353689567425,6.127226463104325,7.0,0.0,6.786259541984732,6.964376590330788,4.399491094147582,4.150127226463104,6.501272264631043,6.875318066157761
2002,3.277353689567429,1.8346055979643763,6.091603053435113,7.0,0.0,6.7328244274809155,6.804071246819339,4.417302798982188,4.1679389312977095,6.501272264631043,6.804071246819339
2003,3.199999999999999,1.8363636363636358,6.054545454545454,7.0,0.0,6.672727272727273,6.763636363636364,4.418181818181818,4.236363636363636,6.49090909090909,6.745454545454545
