Year,USA,China,UK,Netherlands,Germany,Japan,India,Russia,France,Saudi Arabia,Brazil
1950,2.1,,0.0,1.56,7.0,,,,,,
1951,2.14,,0.0,1.83,5.27,,7.0,,,,
1952,2.02,,0.0,1.99,4.95,,7.0,,,,
1953,2.01,,0.0,2.01,4.44,,7.0,,,,
1954,1.91,,0.0,2.63,4.18,,7.0,,,,
1955,1.81,,0.0,2.67,3.88,7.0,7.0,,,,
1956,1.82,,0.0,2.72,3.98,7.0,7.0,,,,
1957,1.75,,0.0,2.54,3.95,7.0,7.0,,,,
1958,1.6,,0.0,2.2,4.0,7.0,7.0,,,,
1959,1.58,,0.0,2.02,3.7,7.0,7.0,,,,
1960,1.48,,0.0,2.24,3.9,7.0,7.0,,,,
1961,1.34,,0.0,3.04,3.73,7.0,7.0,,,,
1962,1.35,,0.0,2.38,3.53,7.0,5.25,,,7.0,
1963,1.36,,1.57,2.34,3.42,7.0,5.14,,,7.0,
1964,1.35,,1.92,2.85,4.08,4.67,5.78,,,7.0,
1965,1.44,,1.94,2.82,4.19,4.67,5.81,,,7.0,
1966,1.54,,2.74,2.71,4.17,4.67,5.87,,,7.0,
1967,1.4,,2.81,2.48,3.88,4.67,6.04,,,7.0,
1968,1.43,,2.87,2.32,3.74,4.67,5.98,,,7.0,
1969,1.43,,3.05,2.83,3.76,4.67,5.94,,1.48,7.0,
1970,1.56,,3.0,3.16,3.16,4.67,5.82,,1.27,7.0,
1971,1.6,,3.53,3.33,3.36,4.67,5.8,,1.63,7.0,
1972,1.73,,3.2,3.51,3.4,4.67,5.78,,1.63,7.0,
1973,1.62,,3.61,3.25,3.19,4.6,5.73,,1.49,7.0,
1974,1.5,,3.62,3.14,3.14,4.47,5.86,,1.29,7.0,
1975,1.25,,3.74,3.18,2.79,3.79,5.78,,1.46,7.0,
1976,1.4,,3.73,3.5,2.98,3.39,5.29,,1.62,7.0,
1977,1.52,,2.82,3.33,2.93,2.55,5.2,,4.27,7.0,
1978,1.39,,2.89,2.18,2.38,1.52,5.05,,5.19,7.0,
1979,1.33,,3.05,1.47,2.22,0.82,4.98,,5.23,7.0,
1980,1.44,,3.55,0.94,2.0,0.51,5.14,,5.24,7.0,
1981,2.21,,3.75,1.1,1.9,0.55,5.12,,5.27,7.0,
1982,2.32,,4.05,1.15,2.03,0.53,5.16,,5.36,7.0,
1983,2.54,,4.29,1.18,2.2,0.45,5.41,,5.43,7.0,
1984,2.62,,4.2,1.1,2.34,0.47,5.4,,5.43,7.0,
1985,2.18,4.88,4.4,0.94,2.45,0.61,5.53,,5.5,7.0,
1986,1.92,4.62,4.09,1.22,2.69,0.44,5.67,,5.63,7.0,
1987,1.94,4.8,4.09,1.28,2.91,0.04,5.78,,5.69,7.0,
1988,1.91,5.16,4.13,0.81,3.15,0.12,5.86,,5.68,7.0,
1989,2.16,5.12,4.3,0.9,3.45,0.45,5.89,,5.51,7.0,
1990,2.12,4.66,4.18,1.64,3.46,0.59,5.74,,5.24,7.0,
1991,1.81,4.59,4.09,1.58,4.13,0.64,2.94,,5.17,7.0,
1992,1.92,4.68,4.06,1.48,4.21,0.57,2.9,,5.22,7.0,
1993,2.0,4.78,4.3,1.35,4.24,0.28,3.04,,5.31,7.0,2.24
1994,2.27,5.1,4.19,1.47,3.72,0.0,3.96,,4.52,7.0,5.92
1995,2.09,5.92,3.29,1.31,2.81,0.0,4.04,7.0,3.67,6.63,6.4
1996,2.11,5.82,3.37,1.11,2.55,0.0,4.34,7.0,3.57,6.63,6.48
1997,2.44,5.7,3.52,1.25,2.65,0.19,4.44,7.0,3.69,6.68,6.46
1998,2.91,5.74,3.68,1.48,2.98,0.76,5.74,4.67,3.93,6.44,6.16
1999,3.01,5.44,3.69,1.53,2.96,0.65,5.55,5.47,3.93,6.45,6.1
2000,3.2,5.46,3.69,1.73,3.01,0.9,5.47,6.32,4.02,6.54,6.06
2001,3.14,5.61,3.61,1.85,3.15,1.0,5.48,6.62,4.05,6.48,5.63
2002,3.1,5.64,3.48,1.92,3.26,1.18,5.44,6.79,4.12,6.5,5.57
2003,3.17,5.44,3.63,1.93,3.47,1.56,5.56,6.97,4.25,6.65,5.87
2004,2.98,5.48,3.43,1.87,3.63,1.77,5.54,7.0,4.21,6.65,6.0
2005,2.93,5.56,3.32,1.82,3.7,1.95,5.51,6.98,4.14,6.72,6.02
2006,2.72,5.89,3.07,1.83,3.75,2.0,5.41,6.92,4.03,6.82,5.96
2007,2.6,5.77,2.94,1.84,3.98,2.11,4.75,6.85,3.97,6.93,6.07
2008,2.62,5.82,2.76,1.7,4.05,2.06,4.69,6.74,3.83,7.0,5.96
2009,2.87,5.56,2.93,1.75,4.19,2.17,5.18,6.83,3.81,6.96,6.08
2010,3.05,5.37,3.05,1.75,4.22,2.34,5.17,6.84,3.83,6.99,6.01
2011,3.21,5.39,3.16,1.76,4.38,2.34,5.11,6.74,3.8,7.0,5.94
2012,3.35,5.29,3.2,1.74,4.44,2.4,5.2,6.64,3.79,7.0,5.89
2013,3.39,5.15,3.3,1.74,4.52,2.42,5.36,6.53,3.79,7.0,5.92
2014,3.52,5.03,3.45,1.77,4.72,2.49,5.43,6.41,3.8,7.0,5.92
2015,3.6,4.89,3.51,1.79,4.87,2.64,5.59,6.53,3.76,7.0,5.86
2016,3.56,4.59,3.45,1.83,4.92,2.61,5.74,6.61,3.65,7.0,5.91
2017,3.42,4.3,3.32,1.87,4.86,2.46,5.58,6.51,3.46,7.0,5.78
2018,3.29,4.05,3.22,1.92,4.72,2.24,5.49,6.37,3.18,7.0,5.58
2019,3.21,3.8,3.18,1.97,4.67,2.05,5.35,6.37,2.92,7.0,5.55
2020,3.06,3.68,2.9,1.99,4.72,1.9,5.45,6.34,2.5,7.0,5.68
2021,3.14,3.59,2.99,1.98,4.61,1.76,5.64,6.52,2.54,7.0,5.64
2022,3.03,3.24,3.01,2.05,4.46,1.4,5.41,6.35,2.31,7.0,5.43
