Year,Brazil,China,France,Germany,India,Japan,Netherlands,Russia,Saudi Arabia,UK,USA
1961,6.386858648290297,0.0,5.736318805895587,5.620941211217875,5.51843506231412,7.0,4.908203238562554,,6.97032072374254,5.3365639046013005,5.2651076173488605
1962,4.8712596880271715,0.0,4.973749970040104,4.080768205566892,3.4039337785818597,5.79470854543019,4.968647815910629,,7.0,2.6710725653942293,4.6712900783413716
1963,0.0,7.0,3.971481651660392,1.5409355499482449,3.8928322522904533,5.682009969074166,2.1827165691934862,,5.842553059036674,3.0738985780788397,2.7422680422550147
1964,0.0,7.0,1.5074186732030312,1.5342550322841502,1.9195298287806164,3.9199565222605286,2.308817830074379,,2.5465149228663266,1.0394910135177005,1.1366711777420344
1965,1.799796003227618,7.0,2.671410991457111,2.8163068811777894,0.0,3.0220075870176486,4.031092719961923,,5.279738197472468,1.7034164243877403,3.2294053490390313
1966,4.417174139544282,7.0,3.412515521498971,1.8750073681263026,0.0,6.992520633741496,1.8285315806441504,,5.385665463732919,1.0611023132676523,4.286398146557488
1967,4.141313232877201,0.0,4.391275260208406,2.2595468212368965,5.647456530306089,7.0,4.589927010363673,,6.097484897857301,3.5497067897159043,3.435171558551187
1968,5.729438099945501,0.0,3.562976061193429,4.0265885276970925,3.0864479623658148,7.0,4.3346430944950525,,4.8474040981018245,3.9457663471527864,3.668489141125503
1969,3.5281995717531807,7.0,2.405299376863724,2.5567033676439435,2.146805784908108,4.9178037997346715,2.095358172153978,,1.912639491905005,0.0,0.541704578131766
1970,1.3610136657399803,2.550501395783045,0.7997056839601266,0.6530873090835047,0.6603158116547615,0.024383716148502307,0.7916876040278833,,7.0,0.3330532284408187,0.0
1971,4.997722528553334,2.7910344628454733,1.8808537201365896,0.7675732473421937,0.0,1.5745733442169287,1.3777496315669215,,7.0,0.18631073628406394,0.8500216643822387
1972,4.522373156789549,1.5794005445007506,1.8342690141606124,1.7568912217991415,0.0,3.2457638168727176,1.479450382873664,,7.0,1.5129316871125857,2.1026343115543504
1973,3.8913560851680185,1.6277101481276086,1.0569731194759995,0.5403118265429011,0.0,1.727097726597263,0.7833980387808206,,7.0,1.4649289714155853,0.856847386652959
1974,3.871646965818145,1.5708025925601068,2.3994592706037245,1.0117548118819948,1.128005979178673,0.1789268190593315,2.0151953234902344,,7.0,0.0,0.4484991709287626
1975,5.095183764843689,6.794413924950438,2.172271115868712,2.2099874692830115,7.0,4.102873408586116,2.6254365203002785,,0.0,2.300783650561927,2.526138234634276
1976,4.92986150069105,0.0,2.462426334876194,2.7173999471926575,1.3476434085215019,2.3112965420030234,2.511925832082758,,7.0,1.8234727295793838,2.900293214329498
1977,3.4565110269248325,7.0,1.6009592979952034,1.3227451817585287,6.5761865506615775,2.7251517987291454,0.2111964929391954,,4.743209371406138,0.0,3.0395459266222162
1978,3.01092445247475,7.0,2.370436428386392,1.779946937695486,3.4770017492348106,3.200487128766579,1.5839811931095404,,0.0,2.027774187893696,3.365712211244309
1979,5.183538798601248,5.542896714488496,3.859651835224338,4.056254028496013,0.0,4.632460263284764,3.133325442999763,,7.0,3.4498425358704257,3.6309618131891814
1980,7.0,6.159776868275514,2.3717696298978312,2.2071614684009795,5.4841291525504685,3.0737797452294995,2.1659980624254445,,4.9069771775777555,0.0,1.182543671349389
1981,0.0,6.390213184524259,3.711724590179623,3.2618973855905127,7.0,5.808618240009423,2.3658577460631967,,4.936447731643496,1.9974050373171288,4.632699448118172
1982,4.711215386498694,7.0,5.159698407662071,4.370554331225563,5.4470647513883,5.392554538298846,4.135282445757473,,0.0,5.062508709528539,3.978903641852305
1983,2.5986177108667454,7.0,3.949598699915592,4.049616494986885,5.891876367898263,4.712783202821112,4.209962021875247,,0.0,4.710897220116494,5.020098925975088
1984,3.4226770866457157,7.0,2.0435913544213196,2.4850833346299197,2.848103416965473,3.0628114227185708,2.571939517036678,,0.0,2.429773726574407,4.090823054774419
1985,5.106369325162987,7.0,2.9769613883707553,3.234236251721299,4.22635479259865,4.19431961569407,3.3197541624728704,,0.0,3.665291778742651,3.858603323204819
1986,5.723909852718965,7.0,1.2198545123496274,1.1296082744729854,3.327762353830503,2.0185998912406604,1.5708212218446498,,0.0,2.6528917417346727,2.167491676050441
1987,3.1597063110267443,7.0,2.696278500000173,2.150649970558459,3.3661582186288124,3.6902864881726187,2.4015553037950053,,0.0,3.649133892135664,3.1239646151418863
1988,0.0,7.0,3.024088701648445,2.3372858637826677,6.010539287957054,4.170268960962931,2.172242484735444,,4.132239871317798,3.1592654600602876,2.6287282980167457
1989,3.4730884625369844,4.797047613266691,5.048639569231703,4.405070066147665,7.0,5.7073912394285635,5.067554728531697,,0.0,2.361427883595561,4.121238814430532
1990,0.0,4.213196792594665,3.648158433409895,4.88055761986864,5.022044646491495,4.670154122821788,4.335956175579999,0.6859729171264287,7.0,2.60631576723974,3.1686590323330166
1991,2.953359830913804,7.0,3.052696765256502,4.933595320713252,2.9653313235412107,4.163617817727761,3.6368812379598636,0.0,6.445713210763672,1.824009417040335,2.399281416863025
1992,3.396000240080979,7.0,3.896194125247284,4.016998264525603,4.859207825548793,3.746758709358737,3.9423278983458996,0.0,4.640250218990978,3.8424552576386652,4.383350519701017
1993,4.210736323075028,7.0,2.5740233685590077,2.383815407928629,4.156863543702956,2.542977913720863,3.0747774863432493,0.0,2.8028897952498673,3.7664674736711823,3.537645082993811
1994,5.029094655727691,7.0,4.082053628773655,4.140252551633638,5.249134964243936,3.727097747715673,4.239683614275126,0.0,3.6914958504903614,4.783556014279899,4.531212202909659
1995,3.8593792775580953,7.0,2.9742511471233515,2.605348474528278,5.404869597478401,3.1247121767917014,3.3484323746936804,0.0,2.054952240288989,3.540935007526757,3.149356972155261
1996,3.040325940083557,7.0,2.6264902559119787,2.4433731626446726,5.762915266217886,3.5118809308314036,3.6580396263784833,0.0,3.5989581569523126,3.247325311996637,3.837583658844078
1997,2.034008062985636,7.0,1.302707205143336,0.7357751213692264,2.585969710638572,0.0,2.753383737371365,0.3528367562394281,1.4040510551096987,3.285567457778784,2.920789083820698
1998,2.9851865920657543,7.0,4.634220797738876,3.9157387483202344,6.080639873215281,2.133571092170563,5.26703887746608,0.0,4.290709556197741,4.525001865900747,5.1798608752329525
1999,0.8132922364953765,6.181227413468765,2.9780006102407244,2.040346260890324,7.0,0.22114281971187263,4.192043420440705,5.1938372617755455,0.0,2.6421112113568013,4.003811947167932
2000,1.5704844230933415,5.6323607229576185,1.3315699532231902,0.10823547128343118,1.041322550006063,0.0,1.4077613479832718,7.0,1.8899259592830981,1.7024766541725704,1.270219057813204
2001,0.9183082975007661,7.0,1.3659706726256815,1.1346370169287598,3.9351696470665503,0.03646711146339239,1.738553987967866,4.17771277496333,0.0,1.797806423773724,0.5367208271309054
2002,2.637287067575208,7.0,1.2377417343965618,0.3243063982586186,3.1662549316693847,0.5147583473201903,0.6584145329126101,3.797774555650432,0.0,1.689718933650771,1.6836716558719562
2003,1.0982737657204489,7.0,0.9845422324277543,0.0,5.515712975295157,1.3574846027961058,0.41260693826946027,5.14728641352097,6.112864536094341,2.464146956733401,2.186125474691476
2004,3.5883592829380087,7.0,1.3315552427364081,0.0,5.276425150976032,0.7991911907747488,0.6666683175881021,4.712177147241161,5.829029098807344,0.9083767048946765,2.096010942600293
2005,1.5338036496275032,7.0,0.6641187713228069,0.0,4.65967724255469,0.6080638560672663,0.7603834462514178,3.6510226328709603,3.349730773356243,1.2613730567079415,1.7201245712904367
2006,1.603870885771799,7.0,0.8309795098138768,1.5448437339158927,4.142393441298123,0.0,1.3408900145500273,4.228689825183985,1.2022254018636394,0.5062939135804879,0.8746277008742577
2007,2.534443992458826,7.0,0.5783655456828285,0.7765690451545362,3.413695301209482,0.0,1.32712284152888,3.8774669304671616,0.40326743875320215,0.7996668726187335,0.28732177347919247
2008,4.059777824510481,7.0,1.0309043178181772,1.3571335971073861,2.7699125968056686,0.0,2.146740067622147,4.127740038520618,4.794691678317589,0.7548868658192102,0.8596175835805052
2009,3.1227245273728705,7.0,2.0245722766911953,0.9177676522343416,6.373023987414991,0.8572670759993019,1.682464650809346,0.0,2.7398579889389794,1.3072429535228252,2.125507583058677
2010,4.6849805939170075,7.0,0.5138574867922228,2.1243208946502206,5.416418294827601,2.096613618577134,0.0,2.400007951506516,2.807103484955169,0.7102085092597934,1.0381757004942238
2011,2.3565631515569496,5.629537426596996,1.4398255664120985,2.227446986191087,3.112272005722157,0.0,1.0436078246785527,2.550789020793837,7.0,0.49368487393308036,0.9189749534255942
2012,2.2971759727464773,7.0,0.9205272714101044,1.1421399120081024,5.098436747736534,1.8641951309921634,0.0,3.9634976817224183,5.340262820672155,1.9858341637667025,2.588725316075925
2013,2.720643429375285,7.0,0.7278722748068934,0.38297011228769984,5.751648358940694,1.8244856244417433,0.0,1.6006726012932513,2.667589805221797,1.5675481057873606,1.9255374656198285
2014,0.20294634783814786,7.0,0.6854034662349776,1.8404165931516823,6.949522167473809,0.0,1.2859648351953776,0.429886012875862,3.642251495786608,2.7977435060280116,2.176104425461733
2015,0.0,6.382922741891036,2.797398971764892,3.159013312117635,7.0,3.0969223210323173,3.4365379819475286,0.9540194753423554,4.973671848584058,3.448546500902662,3.9368505723703926
2016,0.0,6.1011924027190325,2.510499264378639,3.337342284981538,7.0,2.44603377965807,3.4599938363193643,2.1060336840180414,3.022812850359894,3.327811277878895,3.092862540036533
2017,0.17258827675400373,7.0,1.1053386800133957,1.9811319025138499,6.8824379271390335,0.6047427768632284,1.961072260441064,0.7892197077096695,0.0,2.257391201154282,1.563909185889231
2018,1.3056605991150558,7.0,1.1479222243598626,0.5637086270017659,6.653205757778528,0.0,1.8496385831678417,2.4776984387739267,2.9582777317594657,1.0396269516605736,2.660057015847673
2019,1.7557109915100637,7.0,2.628368558105441,1.4927859046405234,4.623205296916845,0.0,2.92331720287231,2.8129560054222056,2.2217646321888664,1.7941379495537992,3.2302615855284222
2020,3.8260929455922623,7.0,1.4732507134687465,3.342879485161215,2.412899439181128,3.3220569793375345,3.4920330992191135,4.1781836877622975,3.527724671036027,0.0,4.45541600460305
2021,2.068092979895102,5.879374968359338,4.189942690895559,1.2146373360584115,7.0,0.0,3.5838310139909937,3.173082450139687,3.8268396945897574,5.852374752971303,3.361831861579674
2022,2.3196595790708034,2.3808707192564484,2.1634041008175475,1.6906213085055228,4.712304022817977,1.2388050490110363,3.3566716650579935,0.0,7.0,3.4308939395165834,2.056924400784321
2023,2.860633093122077,4.372731222062161,1.6065001023991687,0.0,7.0,1.6314234653435566,0.18894471447548766,3.4457077346204663,0.982632664752968,0.7941117049210273,2.6142517736565214
2024,3.920421872887647,5.480554451097705,1.6885832036105526,0.0,7.0,0.6009664354619313,1.5789741527987022,4.846723046661176,2.4956987874487315,1.62445193183245,3.2932673659859915
