Year,Brazil,China,France,Germany,India,Japan,Netherlands,Russia,Saudi Arabia,UK,USA
1975,,,7.0,,,,,,,0.5620860927152277,0.0
1976,,,7.0,,,,4.504261363636363,,,0.0,1.426846590909088
1977,,,7.0,2.607734806629837,,,3.193370165745856,,,0.508287292817679,0.0
1978,,7.0,3.791896144767898,,,,1.7045633359559391,,,0.0,0.6388670338316286
1979,,7.0,3.8391693811074923,,,,1.655944625407167,,,1.4222312703583075,0.0
1980,0.0,7.0,4.547145187601957,2.101141924959216,6.027079934747146,3.265905383360522,2.822838499184338,4.9079934747145195,1.6626427406199016,3.01468189233279,1.4776508972267532
1981,0.0,7.0,4.705479452054794,3.200913242009132,6.04337899543379,3.3036529680365287,2.9246575342465753,4.91095890410959,1.6666666666666659,2.5821917808219172,1.570776255707762
1982,0.0,7.0,4.857748776508973,4.099510603588906,5.944861337683525,3.307014681892334,3.046655791190864,4.910277324632953,1.660358890701468,3.138009787928221,1.808809135399672
1983,0.0,7.0,4.907075317900228,4.799804369090316,5.67394848386045,3.295728725138572,3.0355396152592116,4.9139223997391595,1.650146723182261,3.286599282686665,1.9331594391913924
1984,0.0,7.0,4.908675799086759,4.883561643835616,5.634703196347033,3.2648401826484026,3.038812785388128,4.9132420091324205,1.6552511415525117,4.251141552511414,1.8789954337899528
1985,0.0,7.0,4.878303425774878,4.962805872756933,5.474388254486135,3.2042414355628055,3.028384991843392,4.9148450244698205,1.660358890701468,3.7158238172920055,1.9983686786296906
1986,0.0,7.0,4.78082191780822,5.031963470319634,5.340182648401827,3.1666666666666656,3.0433789954337898,4.917808219178083,1.6575342465753427,3.7648401826484004,1.9520547945205484
1987,0.0,7.0,4.792833876221499,4.970684039087949,5.25342019543974,3.0918566775244307,2.998371335504887,4.920521172638437,1.6736156351791533,3.376872964169381,1.8628664495114002
1988,0.0,7.0,4.7487781036168135,4.860540892798959,5.0635386119257095,2.9195177582274354,2.9696969696969715,4.9221244705115685,1.6787227109807752,3.859237536656891,1.573802541544478
1989,0.0,7.0,4.697848761408084,4.750325945241199,4.951108213820079,2.9136245110821366,2.80638852672751,4.921447196870926,1.6701434159061264,3.8376792698826585,1.521838331160365
1990,0.0,7.0,4.784550195567143,4.706975228161669,4.921447196870926,2.872555410691003,2.767601043024773,4.928292046936115,1.6678617992177323,4.535853976531943,1.4647979139504568
1991,0.0,7.0,4.695595432300162,4.533442088091353,4.782381729200652,2.948450244698207,2.7451876019575865,4.91484502446982,1.6649265905383372,4.538009787928223,1.4456769983686786
1992,0.0,7.0,4.603459530026109,4.263054830287206,4.719973890339425,3.1915796344647505,2.672976501305483,4.788511749347259,1.6677545691905995,3.988903394255874,1.140013054830286
1993,0.0,7.0,4.557874144114771,3.973589827192695,4.608086077600261,3.177045973263776,2.7045973263775664,4.719921747636127,1.6569938050211934,3.663188783827845,1.125203782197585
1994,0.0,7.0,4.567699836867864,3.9030995106035897,4.533442088091354,3.16541598694943,3.1425774877650903,4.435236541598695,1.6626427406199014,3.6153344208809126,1.0825448613376834
