Downloaded from wid.world on 25-06-2026 at 10:34:53
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1975;Unnamed: 4
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1976;
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1977;
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1978;
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1979;
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1980;0.7146
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1981;0.7147
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1982;0.7146
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1983;0.7148
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1984;0.7147
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1985;0.7146
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1986;0.7147
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1987;0.7151000000000001
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1988;0.7150000000000001
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1989;0.7149
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1990;0.7151000000000001
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1991;0.7150000000000001
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1992;0.7148
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1993;0.7149
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1994;0.7152000000000001
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1995;0.7147
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1996;0.7151000000000001
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1997;0.7150000000000001
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1998;0.7149
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1999;0.7149
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2000;0.7150000000000001
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2001;0.7148
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2002;0.7176
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2003;0.7160000000000001
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2004;0.7138
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2005;0.7205
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2006;0.7198
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2007;0.7158
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2008;0.7142000000000001
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2009;0.7131000000000001
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2010;0.7157
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2011;0.7184
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2012;0.7145
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2013;0.7108
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2014;0.7130000000000001
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2015;0.7167
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2016;0.7140000000000001
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2017;0.7130000000000001
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2018;0.7107
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2019;0.7078
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2020;0.7163
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2021;0.7236
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2022;0.7189
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2023;0.7166
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2024;0.7190000000000001
China ;"shweal_p90p100_z_CN
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1975;
China ;"shweal_p90p100_z_CN
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1976;
China ;"shweal_p90p100_z_CN
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1977;
China ;"shweal_p90p100_z_CN
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1978;0.4081
China ;"shweal_p90p100_z_CN
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1979;0.4081
China ;"shweal_p90p100_z_CN
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1980;0.4081
China ;"shweal_p90p100_z_CN
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1981;0.4081
China ;"shweal_p90p100_z_CN
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1982;0.4081
China ;"shweal_p90p100_z_CN
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1983;0.4081
China ;"shweal_p90p100_z_CN
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1984;0.4081
China ;"shweal_p90p100_z_CN
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1985;0.4081
China ;"shweal_p90p100_z_CN
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1986;0.4081
China ;"shweal_p90p100_z_CN
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1987;0.4081
China ;"shweal_p90p100_z_CN
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1988;0.4081
China ;"shweal_p90p100_z_CN
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1989;0.4081
China ;"shweal_p90p100_z_CN
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1990;0.4083
China ;"shweal_p90p100_z_CN
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1991;0.4085
China ;"shweal_p90p100_z_CN
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1992;0.4084
China ;"shweal_p90p100_z_CN
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1993;0.4082
China ;"shweal_p90p100_z_CN
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1994;0.4087
China ;"shweal_p90p100_z_CN
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1995;0.4091
China ;"shweal_p90p100_z_CN
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1996;0.43
China ;"shweal_p90p100_z_CN
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1997;0.4464
China ;"shweal_p90p100_z_CN
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1998;0.4591
China ;"shweal_p90p100_z_CN
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1999;0.4692
China ;"shweal_p90p100_z_CN
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2000;0.4775
China ;"shweal_p90p100_z_CN
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2001;0.4844
China ;"shweal_p90p100_z_CN
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2002;0.4901
China ;"shweal_p90p100_z_CN
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2003;0.4903
China ;"shweal_p90p100_z_CN
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2004;0.5061
China ;"shweal_p90p100_z_CN
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2005;0.5229
China ;"shweal_p90p100_z_CN
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2006;0.5393
China ;"shweal_p90p100_z_CN
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2007;0.5582
China ;"shweal_p90p100_z_CN
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2008;0.5691
China ;"shweal_p90p100_z_CN
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2009;0.5820000000000001
China ;"shweal_p90p100_z_CN
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2010;0.6276
China ;"shweal_p90p100_z_CN
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2011;0.6679
China ;"shweal_p90p100_z_CN
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2012;0.6655
China ;"shweal_p90p100_z_CN
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2013;0.6657000000000001
China ;"shweal_p90p100_z_CN
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2014;0.6674
China ;"shweal_p90p100_z_CN
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2015;0.6741
China ;"shweal_p90p100_z_CN
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2016;0.6741
China ;"shweal_p90p100_z_CN
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2017;0.6782
China ;"shweal_p90p100_z_CN
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2018;0.6772
China ;"shweal_p90p100_z_CN
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2019;0.6765
China ;"shweal_p90p100_z_CN
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2020;0.6795
China ;"shweal_p90p100_z_CN
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2021;0.6817000000000001
China ;"shweal_p90p100_z_CN
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2022;0.6805
China ;"shweal_p90p100_z_CN
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2023;0.6805
China ;"shweal_p90p100_z_CN
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2024;0.6805
France ;"shweal_p90p100_z_FR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1975;0.5494
France ;"shweal_p90p100_z_FR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1976;0.5414
France ;"shweal_p90p100_z_FR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1977;0.5326000000000001
France ;"shweal_p90p100_z_FR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1978;0.5246000000000001
France ;"shweal_p90p100_z_FR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1979;0.519
France ;"shweal_p90p100_z_FR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1980;0.5155000000000001
France ;"shweal_p90p100_z_FR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1981;0.5086
France ;"shweal_p90p100_z_FR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1982;0.5019
France ;"shweal_p90p100_z_FR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1983;0.4998
France ;"shweal_p90p100_z_FR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1984;0.4997
France ;"shweal_p90p100_z_FR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1985;0.501
France ;"shweal_p90p100_z_FR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1986;0.5053
France ;"shweal_p90p100_z_FR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1987;0.5049
France ;"shweal_p90p100_z_FR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1988;0.5068
France ;"shweal_p90p100_z_FR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1989;0.509
France ;"shweal_p90p100_z_FR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1990;0.5054000000000001
France ;"shweal_p90p100_z_FR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1991;0.5094000000000001
France ;"shweal_p90p100_z_FR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1992;0.5133
France ;"shweal_p90p100_z_FR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1993;0.5152
France ;"shweal_p90p100_z_FR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1994;0.5152
France ;"shweal_p90p100_z_FR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1995;0.5378000000000001
France ;"shweal_p90p100_z_FR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1996;0.5688
France ;"shweal_p90p100_z_FR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1997;0.5823
France ;"shweal_p90p100_z_FR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1998;0.5953
France ;"shweal_p90p100_z_FR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1999;0.6035
France ;"shweal_p90p100_z_FR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2000;0.605
France ;"shweal_p90p100_z_FR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2001;0.5963
France ;"shweal_p90p100_z_FR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2002;0.5812
France ;"shweal_p90p100_z_FR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2003;0.5731
France ;"shweal_p90p100_z_FR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2004;0.5668000000000001
France ;"shweal_p90p100_z_FR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2005;0.5586
France ;"shweal_p90p100_z_FR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2006;0.5614
France ;"shweal_p90p100_z_FR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2007;0.5674
France ;"shweal_p90p100_z_FR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2008;0.5625
France ;"shweal_p90p100_z_FR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2009;0.5665
France ;"shweal_p90p100_z_FR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2010;0.5834
France ;"shweal_p90p100_z_FR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2011;0.5768
France ;"shweal_p90p100_z_FR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2012;0.5723
France ;"shweal_p90p100_z_FR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2013;0.5788
France ;"shweal_p90p100_z_FR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2014;0.5870000000000001
France ;"shweal_p90p100_z_FR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2015;0.5894
France ;"shweal_p90p100_z_FR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2016;0.5871000000000001
France ;"shweal_p90p100_z_FR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2017;0.5883
France ;"shweal_p90p100_z_FR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2018;0.5919
